,index,text,retweetCount,polarityScore,sentiment
18,19,"RT @DrKumarVishwas: And the Oscar goes to ""Mr.<U+092D><U+093E><U+0935><U+0941><U+0915>"" <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>#demonetization https://t.co/ObQrhlNSL6",954,0,
19,20,"RT @rishibagree: More than 700 Fish Vendors across Kolkata have started using e-wallets.
Before #demonetization this number was zero .. Thi",947,0,
20,21,"RT @AdityaNair20: First time in 29years, our Milkman asked for a check!
#demonetization <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

@narendramodi @TarekFatah @PrasadAol @rashminp @",912,0,
21,22,RT @UnSubtleDesi: Kejriwal posts pic of dead robber and claims it's #demonetization related death? How shameless has this man become? https,897,-7,
22,23,RT @bhaiyyajispeaks: RT if you support #Demonetization and Favorite if you are against it!,894,4,
23,24,"RT @devyanidilli: When one uses mouth and anus for same purpose

#demonetization https://t.co/6FY3MSHsH2",886,0,
24,25,"RT @AdityaNair20: First time in 29years, our Milkman asked for a check!
#demonetization <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

@narendramodi @TarekFatah @PrasadAol @rashminp @",862,0,
25,26,RT @sudarsansand: My humble appeal to all to pl have patience and draw what they need from ATMs during this #Demonetization phase. My SandA,762,1,
26,27,RT @PUNjipati: No. Of demonetization supporters from beginning to end https://t.co/dYEDhHmaId,661,0,
27,28,RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have,637,-2,
28,29,Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists https://t.co/aVcrYcZtYM,637,-2,
29,30,"RT @bainjal: RT if you agree that @PMOIndia created an artificial crisis fav if you think this will hurt black money.
#demonetization",635,-4,
30,31,"RT @SickularLibtard: Left: Modis unplanned DeMonetization killing Innocents.

Partition was planned very well by BharatRatna Gandhi/Nehru n",587,-3,
31,32,RT @UrjitPatelRBI: What do think of the #demonetisation of notes? #demonetization poll #RBI #Modi,551,0,
32,33,RT @TheDarjChron: #Demonetization #NorthEast Reaction: #Darjeeling small businessman has a message to opposition parties- Help the Govt ins,550,2,
33,34,"RT @srirambjp: Greece Clarifies, Statements of DyFM reg Demonetization Oversimplified&amp; Doesnt reflect Indian Context. Hindu prints in inner",530,0,
34,35,RT @UrjitPatelRBI: What do think of the #demonetisation of notes? #demonetization poll #RBI #Modi,526,0,
35,36,"RT @ShirishKunder: ""Minor inconvenience"" for ""major convenience"" of Vijay Mallya and friends. #demonetization https://t.co/4RMD7Fpfaw",520,-2,
36,37,"RT @AnkitLal: Full video of @ArvindKejriwal's interaction with people on #DeMonetization being a scam of 8 lakh crore rupees.

https://t.co",473,-2,
37,38,RT @rajeev_mp: Today again #demonetization debate in Parlmnt stalled due to disruption ! <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> i dont undrstnd why oppstn wants to stall its ow,471,-6,
38,39,RT @MinhazMerchant: Bill Gates joins global &amp; Indian business leaders backing #demonetization https://t.co/tR4QDWIKyc,462,2,
39,40,"RT @DrGPradhan: .@ravishndtv of @ndtv spreading rumours to provoke people against #demonetization &amp; PM @narendramodi 

He need mob treatmen",456,-1,
40,41,"RT @LangaMahesh: Farmers in Surat protesting against #demonetization, as cash crunch has almost crippled rural economy in south Guj. @the_h",451,-2,
41,42,RT @ajit_ranade: Not surgical strike. It's the nuclear button. This is Modi's Pokhran. Kudos #demonetization,441,2,
42,43,"RT @rahulroushan: Demonetization problems are officially over, else Rahul ji would have stayed back in solidarity of people. https://t.co/E",434,0,
43,44,"RT @SickularLibtard: Shutup Bhakts stop questioning us, Modijis Demonetization left us with no cash hence we decided to spend Delhi taxpaye",432,-3,
44,45,RT @CMOMaharashtra: Watch what @sonunigam thinks about #demonetization .. https://t.co/vXt09c64zY,428,0,
45,46,"RT @ANI_news: The queues are not getting longer but are getting shorter day by day: Chanda Kochar,ICIC MD and CEO #demonetization https://t",421,0,
46,47,"RT @RenukaJain6: Respected Supreme Court please check if this can also cause Riots. Kindly check with @ArvindKejriwal 

#demonetization 
#S",415,5,
47,48,"RT @RealHistoryPic: Enough of Demonetization, Now it's time for DeSecularisation. (2017) https://t.co/4NtiL4fstd",415,0,
48,49,"RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization",406,0,
49,50,RT @ShefVaidya: When was the last time you saw Naveen Patnaik or Chandrababu Naidu being interviewed on BBC or NDTV on #DeMonetization?,391,0,
50,51,RT @CMOMaharashtra: .@ArshadWarsi thanks Hon PM @narendramodi for the decision on #demonetization and #BlackMoney https://t.co/9AwGwJAc5w,381,2,
51,52,RT @GNDTV: BREAKING: BJP leader's grandson's friend came 2nd in class monitor elections. A clear referendum that India is not accepting #De,376,3,
52,53,RT @CMOMaharashtra: One of the greatest computer scientists Dr. Vijay Bhatkar's views on #demonetization decision by Hon PM @narendramodi h,375,3,
53,54,"RT @NewDelhiTimesIN: Is the #demonetization of <U+20B9>1000 &amp; <U+20B9>500 notes good for India? 

@AmitShah @OfficeOfRG @PMOIndia @BJP4India",368,3,
54,55,RT @rssurjewala: Modiji's #Demonetization. Farmers in acute distress-No buyer for produce &amp; no money for Rabi sowing.Anyone listening? http,367,-4,
55,56,"RT @MinhazMerchant: Yes, the author touches upon an angle most of us missed: Kejriwal has been damaged by #demonetization not just financia",357,-4,
56,57,RT @MsKajalAggarwal: Full respect for @narendramodi @PMOIndia #demonetization <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>,356,2,
57,58,"RT @rssurjewala: ModiJi,47 dead tragically post over hyped #Demonetization drive!Do u feel the pain of these families?Then, apologize.https",348,-6,
58,59,"RT @bishnoikuldeep: Govt hasn't exempted essential items like food, milk, public transport but exempted petrol&amp;flights from #demonetization",340,2,
59,60,RT @ANI_news: Gurugram (Haryana): Post office employees provide cash exchange to patients in hospitals #demonetization https://t.co/uGMxUP9,338,0,
60,61,"RT @rahulroushan: Prohibition is Demonetization 2.0: You kept quiet when poor men's tobacco-gutkha was banned, now they'll love your Englis",337,-1,
61,62,RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;,331,1,
62,63,RT @rajeev_mp: Today a washout of #parliament. i cudnt spk in bcoz #congress didnt allw Debate on #demonetization n #BlackMoney dspite aski,330,0,
63,64,"RT @MinhazMerchant: Is #demonetization a gamechanging eco reform that'll hit terror funding, fake notes &amp; black economy?",321,-6,
64,65,"RT @DrGPradhan: No Flag Large Enough

What do u mean @RanaAyyub ? Seems ur bundles are raddi now or a message?

#demonetization https://t.c",317,-1,
65,66,RT @MinhazMerchant: SC petition says #demonetization illegal without due process. Even launderers &amp; hoarders apparently need fair notice ht,316,-1,
66,67,"RT @AksharPathak: Me, today: ""Demonetization will impact our economic growth and bring down inflation""

Me, last week: ""18+6? phone pe calc",306,2,
67,68,RT @TarekFatah: ~ @ArvindKejriwal loses his temper at BBC reporter who questions AAP ldr's link between suicides &amp; #demonetization.  https:,305,-2,
68,69,"RT @DrGPradhan: New trick by @IndiaToday to scare people.

@aroonpurie Before #demonetization ATMs cleaned by Dettol?

STD by ATM? Where is",305,-2,
69,70,RT @priyankac19: Shri Modiji if you have jokes to crack on #demonetization why not start from the Parliament rather than while touring abro,303,2,
70,71,"RT @iindrojit: Surprise! Despite temporay hurdles, most in rural #Bengal in #Mamata's stronghold support #Modi's #demonetization move. What",299,2,
71,72,"RT @TimesNow_: #BREAKING  In BJP ruled CG people walk 60 KM daily to reach Banks #demonetization 
https://t.co/538jCX4o8p",293,1,
72,73,RT @kavita_krishnan: Modi cracks joke re common citizens' weddings hit by #demonetization - corrupt Reddy bro hosts multicrore wedding http,291,-1,
73,74,RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,275,2,
74,75,Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,275,2,
75,76,"RT @PIB_India: Key info-graphics related to #demonetization so far, in one place, courtesy various sources.. https://t.co/Tj169Rssjt",272,2,
76,77,"RT @ModiBharosa: Huge support for PM @narendramodi s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su",270,3,
77,78,"Huge support for PM @narendramodi s #demonetization Move Across the Nation 
80-86% people back demonetization: C-v https://t.co/xBGtjNngXp",270,3,
78,79,RT @sabeaux: Sr VP of All India Bank Offcrs Confed holds Urjit Patel morally responsible for the #demonetization chaos and related deaths.,269,-2,
79,80,"RT @rupasubramanya: Jagdish Bhagwati, @vdehejia ,Pravin Krishna tell demonetization critics: You got it plain wrong and we got it right. ht",268,-4,
80,81,"RT @RanaAyyub: In which @ravishndtv rips through the #demonetization conundrum in a way only he is capable of. Must read

https://t.co/LNpG",264,1,
81,82,RT @coolfunnytshirt: Delhiites least affected by #demonetization &amp; long queues at ATMs. They are doing online transactions with free wi-fi,260,0,
82,83,RT @Being_Humor: Is it true that @ArvindKejriwal is so aggressive against #demonetization because businessmen have promised certain percent,238,2,
83,84,"RT @ShirishKunder: 500 Crore wedding of Janardhan Reddy &amp; 11 Million views of #Kriti are the only two not affected by #demonetization.
http",237,-1,
84,85,"RT @RenukaJain6: How media which is running on black money not reporting true facts. Please RT to expose them 

#demonetization https://t.c",230,2,
85,86,"RT @SinhaPune: Praises over #demonetization from international fraternity tells one thing. <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> #oppositionxposed 

@iSirArnab @hindustanse @T",225,3,
86,87,RT @aartic02: A World Economist is Rubbishing #Demonetization in India and mind it he doesn't have to score Brownie Points in Indian Politi,221,0,
87,88,"RT @kapsology: More than 5,00,000 Indians to lose job in next 6 months due to badly planned #demonetization by Modi govt.",219,-3,
88,89,RT @kanimozhi: Why @ArvindKejriwal &amp; @MamataOfficial trying to instigate Indians 4 a Civil war in India against #demonetization Arrest them,217,-4,
89,90,"RT @asraghunath: What's d fuss about? We stood in longer Q in #Demonetization Part-I.
Why should you've issues with Q during Part-II?
No su",216,-1,
90,91,"RT @thetanmay: Waiting for opposition to see the IPL auction and say ""dekha, demonetization ke baad bhi human trafficking chalu Hai""",205,0,
91,92,"RT @sush091979: Look how TOI is misleading people &amp; spreading false statement against #demonetization !!
Media and #oppositionXposed https:",203,-4,
92,93,"RT @ashokepandit: If this is true,then it's the biggest benefit of #demonetization. Other trrsts &amp; political Ldrs will fall in the line. ht",203,4,
93,94,"RT @5Forty3: From Jan Dhan to Ujjwala to Neem coated Urea to e-Mandis to Demonetization, Modi's impact on India is historically unprecedent",203,0,
94,95,"From Jan Dhan to Ujjwala to Neem coated Urea to e-Mandis to Demonetization, Modi's impact on India is historically unprecedented!..",203,0,
95,96,RT @steve_hanke: ATMs across #India running out of cash once again after withdrawal restrictions were loosened. And Modi still claims #demo,197,-3,
96,97,ATMs across #India running out of cash once again after withdrawal restrictions were loosened. And Modi still claims #demonetization victory,197,0,
97,98,RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In,191,-3,
98,99,"RT @justtneeraj: Thousands of farmers took out a protest rally in Surat against #demonetization.
<U+0915><U+0939><U+0940><U+0902> <U+092F><U+0947> <U+092D><U+093E><U+0921><U+093C><U+0947> <U+0915><U+0947> <U+0924><U+094B> <U+0928><U+0939><U+0940><U+0902>!
#AcheDin https:/",187,-2,
99,100,"RT @ianuragthakur: Long winding lines will continue to decrease,GOI hs taken numerous steps to ease #demonetization issues: https://t.co/sb",182,2,
100,101,RT @_HarshilNayak: In last 10days 1.6k crore business lost of different sectors in ahmedabad #demonetization  @ArvindKejriwal https://t.co/,182,-3,
101,102,"RT @TheOfficialSBI: In view of  current situation, RTGS time  has been extended upto 6:30 PM till 24th November, 2016. #Demonetization http",180,0,
102,103,"RT @TheOfficialSBI: Our mobile ATM vans are going to market places to dispense cash. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demoneti",179,0,
103,104,"RT @AIMIM_faraaz: When @asadowaisi speak up  on shortage of cash in Hyderabad, they told communal spin, After 5 months of demonetization 65",179,-2,
104,105,"RT @rahulroushan: By-polls result today will prove if there's any Modi wave, whether demonetization was successful, whether Yogi Adityanath",171,3,
105,106,"By-polls result today will prove if there's any Modi wave, whether demonetization was successful, whether Yogi Adityanath was right choice.",171,3,
106,107,"RT @BJP_RSS: Everyone should read <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
Major benefits of #Demonetization that you don't see in media coverage. 
#ModiFightsCorruption #Bla",166,2,
107,108,"RT @_YogendraYadav: Good news: Mr RBI Gov can speak!
Did anyone hear him speak on loan waiver for corporates? 
Or on demonetization?
https:",166,3,
108,109,"RT @IYC: Is Indian Railways still unaware about #demonetization ???

Will @sureshpprabhu @manojsinhabjp take note of it

CC @narendramodi @",165,-2,
109,110,RT @RoflGandhi_: Seeing Munaf Patel back after ages <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>.. thought we lost him in demonetization. #GLvMI,165,-3,
110,111,Seeing Munaf Patel back after ages <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>.. thought we lost him in demonetization. #GLvMI,165,-3,
111,112,"RT @FastNewsDelhi: Must Read-&gt; How Modiji's step towards #Demonetization helped India from bigger ""DISASTER ""
#DemonetizationBenefits #Demo",161,-2,
112,113,"RT @TheDarjChron: #Demonetization #NorthEast Reaction: Senior citizen #Darjeeling ""though we are facing some inconvenience, it is necessary",157,-2,
113,114,"RT @PankajPachauri: Very careful rollback on #demonetization by @BillGates 
Day1- ""Bold Step.""
Day2- ""No Opinion."" https://t.co/Azai2rBZV1",154,3,
114,115,RT @satishacharya: Happy People! @mail_today cartoon #demonetization #cashchaos https://t.co/2Yn8y39QrV,153,3,
115,116,RT @bainjal: Unclear why @PMOIndia can address election rallies on #demonetization but not face Parliament? Why? https://t.co/0PWe3eXzWF,148,-1,
116,117,RT @faizaskari: I wish the official #GDP Data after #Demonetization can get endorsement of common #entrepreneurs #SMEs #manufacturing #expo,148,3,
117,118,"RT @_MiteshPatel: Do we have any reports on how much #BlackMoney is recovered by this #demonetization?

Or is it just PR drama? https://t.c",147,0,
118,119,"RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge",147,0,
119,120,"Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I get no money.",147,-1,
120,121,"RT @TheDarjChron: #Demonetization #NorthEast Reaction: #Darjeeling @HDFC_Bank Manager ""we helped as many tourists as possible, for the sake",144,0,
121,122,RT @CMOMaharashtra: @mandybedi on Hon PM @narendramodi 's #demonetization decision ... https://t.co/j74RkdZRTO,144,0,
122,123,"RT @TheDarjChron: #Demonetization #NorthEast Reaction: #Kurseong a student says, ""this is a historical step taken by @PMO_India, black mone",142,0,
123,124,"RT @ajaymaken: Thoughtful analysis on #demonetization by .@bainjal

A must read article! https://t.co/nihLSKDkBH",142,2,
124,125,RT @sudarsansand: My humble appeal to all to pl have patience and draw what they need from ATMs during this #Demonetization phase. My SandA,139,1,
125,126,"RT @IndiaHistorypic: 1980s :: Narendra Modi Meeting People To Understand Their Problems 
#Demonetization  #IAmWithModi  #SupportModi https:",139,-2,
126,127,Rare sight corrupt queue up to confess their crime before Bapu the original sinner who inflicted Nehru on India https://t.co/gi0HJZwqjX,134,-8,
127,128,"RT @TheDarjChron: #Demonetization #NorthEast Reaction: Small businessman ""it is our duty to support this initiative.. by standing in line w",134,2,
128,129,"RT @rsprasad: Digital Payments initiative after demonetization, designed to reduce usage of cash and strengthen the footprint of Digital Ec",133,2,
129,130,"RT @ashu3page: Man ends life over fund shortage ahead of daughters wedding in Gujarat. #Demonetization 
https://t.co/DGAI5cf05y 
https://t",132,-2,
130,131,RT @AnjuNagarajan: @ArvindKejriwal <ed><U+00A0><U+00BD><ed><U+00B1><U+0088> most effected man by #Demonetization Is hit by mental disorder. Retweeting Striyan children's pic as t,132,-2,
131,132,"Man ends life over fund shortage ahead of daughters wedding in Gujarat. #Demonetization 
https://t.co/DGAI5cf05y 
https://t.co/9BKcqVNj1j",132,-2,
132,133,RT @priyankac19: Modiji next joke on their plight perhaps? #demonetization https://t.co/KxVve4mKta,129,2,
133,134,RT @jgopikrishnan70: Might not be stollen...tricks during #demonetization to show as loss or claim insurance https://t.co/en08CtWL8f,128,-3,
134,135,"RT @_MiteshPatel: #Demonetization is NOT blunder.

It's deliberate drama being done for PR propaganda.
Don't down play this. https://t.co/g",127,-2,
135,136,RT @YarmolukDan: Riffin' on demonetization https://t.co/TyrIIEKZIU,126,0,
136,137,RT @pratap_bose: This is the most beautiful post I have seen in these last few turbulent days <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> @devduttmyth #demonetization #CorruptionCle,125,3,
137,138,"RT @ajaymaken: Thoughtful analysis on #demonetization by .@bainjal

A must read article! https://t.co/nihLSKUVtf",125,2,
138,139,"RT @girishkuber: Another blow. No notes exchange for next two days, Banks Association decides. Shows govt preparedness. #demonetization. @B",125,-1,
139,140,RT @ATEKAssetScan: Riffin' on demonetization https://t.co/rLPk6LPfv3,124,0,
140,141,Riffin' on demonetization https://t.co/rLPk6LPfv3,124,0,
141,142,RT @ippatel: Retaining all seats of LS and state in Byelection by BJP has proved the people's support on #DeMonetization. It should be abov,123,2,
142,143,Retaining all seats of LS and state in Byelection by BJP has proved the people's support on #DeMonetization. It should be above politics.,123,2,
143,144,RT @satishacharya: Reddy Wedding! @mail_today cartoon #demonetization #ReddyWedding https://t.co/u7gLNrq31F,120,0,
144,145,RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,120,2,
145,146,"RT @rishibagree: This is exactly how some people behaving on #demonetization 

Since Modi Did it lets oppose it
If Sonia Gandhi have done i",120,0,
146,147,Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,120,2,
147,148,"RT @IamRitzV: LOL!!
Real reason is #Demonetization
They have no money to celebrate his birthday!!
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/sIVo5YMhJp",118,5,
148,149,"RT @ShefVaidya: Waise, why are @BBCWorld and @ndtv interviewing only 1 CM, that too not even of a full state on #DeMonetization?",116,0,
149,150,"RT @AamAadmiParty: Catch @ArvindKejriwal talking to @rohit_varghese 

RIGHT NOW on @Mirchi983Delhi 

#demonetization",116,0,
150,151,RT @Devinder_Sharma: If Rs 3 lakh cr expected from #demonetization is a 'windfall' what would we term Rs 6.23-lk cr tax exemptions to India,115,0,
151,152,RT @rishibagree: A Housewife's view on #demonetization https://t.co/nFwuiZUJOD,114,0,
152,153,"RT @HarsimratBadal_: Indias Manufacturing PMI Improved after Demonetization
https://t.co/QZzS7y6v33

via NMApp https://t.co/Gqrd7nh5cL",113,2,
153,154,"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas",112,3,
154,155,"Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among https://t.co/psysgITmCf",112,3,
155,156,"RT @DaaruBaazMehta: Cash crunch hits Asia's biggest wholesale market

Azadpur Mandi comes to a standstill after #demonetization 

cc @Arvin",109,0,
156,157,"RT @GabbbarSingh: I am not a sanghi or something, but I truly believe in this #Demonetization move, implementation may be faulty, but they",108,0,
157,158,"RT @ashokgehlot51: First and foremost, there should be a clear guideline and arrangements for people without bank accounts.
#demonetization",107,1,
158,159,"RT @WithCongress: Due to drop in price of tomatoes after #DemonetizationDisaster , angry farmers throw away tomatoes in Sanand https://t.co",107,-4,
159,160,"RT @attomeybharti: Headline blames demonetization, report says lack of supply due to staff shortage and year-end closing. <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2642><U+FE0F> https://t.c",106,-6,
160,161,"RT @iamyudhvir: More I know about Demonetization Scheme, more I hate it. #<U+091C><U+0928><U+0924><U+093E>_<U+0924><U+094D><U+0930><U+0938><U+094D><U+0924>_<U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930><U+0940>_<U+092E><U+0938><U+094D><U+0924>",106,-3,
161,162,"Headline blames demonetization, report says lack of supply due to staff shortage and year-end closing. <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2642><U+FE0F> https://t.co/0jOTXeMFXa",106,-6,
162,163,"RT @PIB_India: Watch briefing on #Demonetization by DEA Secy @DasShaktikanta this morning here:
https://t.co/TDj2A6uO5u",105,0,
163,164,RT @kanimozhi: India will get windfall profit of whooping 4 Lakh crores in 30 days due to #demonetization Why people like AK Pappu &amp; Mamata,105,4,
164,165,"Watch briefing on #Demonetization by DEA Secy @DasShaktikanta this morning here:
https://t.co/TDj2A6uO5u",105,0,
165,166,"RT @MahikaInfra: Must Vote

After 9days of #demonetization Only 4-5Lakhs cr returned to Bank out of 14.5 Lakhs cr 

Kahan gaya 10 Lakhs Cr",104,0,
166,167,"RT @TheDarjChron: #Demonetization #NorthEast Reaction: #Kalimpong a driver by profession says ""even though we face difficulties, we support",104,2,
167,168,RT @5Forty3: We suspect that the positive economic impact of demonetization is going to be far more overwhelming than the political or elec,104,1,
168,169,We suspect that the positive economic impact of demonetization is going to be far more overwhelming than the political or electoral impact!,104,1,
169,170,"RT @SatyendarJain: People who are supporting #demonetization  will definitely wake up, when lay off will start because  of economic slowdow",103,1,
170,171,RT @rishibagree: And they say #demonetization is failure https://t.co/WnjIUqIhdW,102,-2,
171,172,RT @ashokgehlot51: NDA Government after declaring its #demonetization plan has not been able to devise any means to mitigate the suffering,102,-2,
172,173,"RT @PiyushGoyalOffc: We believe good economics makes good politics.It's reflected in all our actions, from demonetization to transparent e-",102,6,
173,174,"We believe good economics makes good politics.It's reflected in all our actions, from demonetization to transparent e-auctions: @PiyushGoyal",102,6,
174,175,"RT @CHIRU_NEWS: All other celebrities who spoke on #demonetization till now did for their selfushness.
Only Pawan Kalyan spoke for the peop",101,0,
175,176,"RT @IbrahimTasleem: People around him Snatched his Mike
when Congress Leader Praising #DeMonetization in Rajasthan

Epic video must watch a",100,3,
176,177,RT @ashokgehlot51: The Modi Government did not do any homework or ground work before its #deMonetization declaration.,97,0,
177,178,"RT @TheDarjChron: #Demonetization #NorthEast Reaction: Senior citizen #Kalimpong ""its ok, so what if we have to stand in line... this was m",96,0,
178,179,"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",95,0,
179,180,"BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",95,0,
180,181,"RT @_MiteshPatel: You're forgetting the Motive.

#Demonetization Drama is just a PR exercise.
Just a means through which Pro-Feku Media can",94,0,
181,182,"RT @ShefVaidya: If ppl are so angry wth #DeMonetization that they wd NEVER vote for Modi again, @ArvindKejriwal @MamataOfficial @OfficeOfRG",93,-3,
182,183,RT @MarkDice: The ads appearing on offensive YouTube videos that slip by the demonetization system is 1/1000th of a percent.  #YouTubeIsDead,92,-3,
183,184,The ads appearing on offensive YouTube videos that slip by the demonetization system is 1/1000th of a percent.  #YouTubeIsDead,92,-3,
184,185,RT @ShefVaidya: NO. @MamtaOfficiaI will say this fire was caused because of #DeMonetization and @narendramodi is responsible! https://t.co/,91,-1,
185,186,"RT @TheDarjChron: #Demonetization #NorthEast Reaction: Senior Citizen ""we are happy...everyone faces some trouble... but we are very happy",90,4,
186,187,"RT @priyaakulkarni2: Post demonetization

Economy to grow at 7.4 acc to Asian Development bank.

World Bank says note ban will have positiv",90,-2,
187,188,"Post demonetization

Economy to grow at 7.4 acc to Asian Development bank.

World Bank says note ban will have posi https://t.co/tbz8SnUPf7",90,-2,
188,189,RT @MIB_India: #Demonetization: Announcements by @FinMinIndia @DasShaktikanta https://t.co/heTEYUM0ch,88,0,
189,190,#Demonetization: Announcements by @FinMinIndia @DasShaktikanta https://t.co/heTEYUM0ch,88,0,
190,191,"RT @TheDarjChron: Mainstream media suffers from ""Tyranny of Distance"" so we r reporting what people in #NorthEast think of #Demonetization",88,-2,
191,192,"RT @AskAnshul: Terrorists loot bank in Kashmir. After Demonetization, Bank robberies in J&amp;K has become daily routine. Army should take over",85,-2,
192,193,"Terrorists loot bank in Kashmir. After Demonetization, Bank robberies in J&amp;K has become daily routine. Army should take over banks security.",85,-2,
